,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7916,5,0,4,0.7495265749274082,0
1,7916,5,0,3,0.7495265749274082,0
2,7916,5,0,3,0.7495265749274082,0
3,7916,5,0,4,0.7495265749274082,0
4,7916,5,0,3,0.7495265749274082,0
5,7916,5,0,4,0.7495265749274082,0
6,7916,5,0,3,0.7495265749274082,0
7,7916,5,0,4,0.7495265749274082,0
8,7916,5,0,3,0.7495265749274082,0
9,7916,5,0,3,0.7495265749274082,0
10,7916,5,0,3,0.7495265749274082,0
11,7916,5,0,3,0.7495265749274082,0
12,7916,5,0,3,0.7495265749274082,0
13,7916,5,0,4,0.7495265749274082,0
14,7916,5,0,3,0.7495265749274082,0
15,7916,5,0,3,0.7495265749274082,0
16,7916,5,0,3,0.7495265749274082,0
17,7916,5,0,4,0.7495265749274082,0
18,7916,5,0,3,0.7495265749274082,0
19,7916,5,0,3,0.7495265749274082,0
20,7916,5,0,3,0.7495265749274082,0
21,7916,5,0,3,0.7495265749274082,0
22,7916,5,0,3,0.7495265749274082,0
23,7916,5,0,3,0.7495265749274082,0
24,7916,5,0,3,0.7495265749274082,0
25,7916,5,0,3,0.7495265749274082,0
26,7916,5,0,4,0.7495265749274082,0
27,7916,5,0,4,0.7495265749274082,0
28,7916,5,0,3,0.7495265749274082,0
29,7916,5,0,3,0.7495265749274082,0
30,7916,5,0,3,0.7495265749274082,0
31,7916,5,0,3,0.7495265749274082,0
32,7916,5,0,3,0.7495265749274082,0
33,7916,5,0,4,0.7495265749274082,0
34,7916,5,0,3,0.7495265749274082,0
35,7916,5,0,4,0.7495265749274082,0
36,7916,5,0,3,0.7495265749274082,0
37,7916,5,0,3,0.7495265749274082,0
38,7916,5,0,3,0.7495265749274082,0
39,7916,5,0,4,0.7495265749274082,0
40,7916,5,0,3,0.7495265749274082,0
41,7916,5,0,3,0.7495265749274082,0
42,7916,5,0,3,0.7495265749274082,0
43,7916,5,0,3,0.7495265749274082,0
44,7916,5,0,3,0.7495265749274082,0
45,7916,5,0,3,0.7495265749274082,0
46,7916,5,0,3,0.7495265749274082,0
47,7916,5,0,4,0.7495265749274082,0
